court_forms_id,court_forms_num,court_forms_title,court_forms_type,court_forms_comments,court_forms_category,court_forms_downloadable,court_forms_internal_flag,court_forms_url,court_forms_keywords,court_forms_format,court_forms_lastupdate,language_id,court_work_type_id
26,A4,Application For Revocation Of An Order Freeing A Child For Adoption,Adobe Acrobat (pdf),Internet downloadable form,Adoption,1,0,a004-eng.pdf,NULL,(PDF 34KB),June 2001,5,NULL
27,A5,Application For Substitution Of One Adoption Agency For Another,Adobe Acrobat (pdf),Internet downloadable form,Adoption,1,0,a005-eng.pdf,NULL,(PDF 75KB),May 2002,5,NULL
48,C(PRA1) ,Parental Responsibility Agreement.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c(pra001)-eng.pdf,,(PDF 353KB) ,August 2014,5,0
50,C1 ,"Application for an order - Children Act 1989 except care and supervision orders, Section 8 orders and orders related to enforcement of a contact order.",Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c001-eng.pdf,,(PDF 258KB) ,April 2016 ,5,0
56,C11,Atodiad i gais am Orchymyn Diogelu Brys. / Supplement for an application for an Emergency Protection Order.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c011-bil.pdf,NULL,(PDF 168KB) ,August 2004,17,NULL
57,C12,Atodiad i gais am warant i helpu person a awdurdodir gan Orchymyn Amddiffyn Brys. / Supplement for an application for a warrant to assist a person authorised by an Emergency Protection Order.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c012-bil.pdf,NULL,(PDF 127KB) ,August 2004,17,NULL
58,C12,Supplement for an application for a Warrant to assist a person authorised by an Emergency Protection Order.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c012-eng.pdf,NULL,(PDF 98KB),August 2004,5,NULL
59,C13,Supplement for an application for a Care or Supervision Order. ,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c013-eng.pdf,NULL,(PDF 15KB),September 1999,5,NULL
60,C14,Supplement for an application for authority to refuse contact with a child in care. ,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c014-eng.pdf,NULL,(PDF 12KB),September 1999,5,NULL
61,C14,Atodiad i gais am awdurdod i wrthod cyswllt â phlentyn mewn gofal. / Supplement for an application for authority to refuse contact with a child in care.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c014-bil.pdf,NULL,(PDF 108KB) ,September 1999,17,NULL
62,C15,Supplement for an application for contact with a child in care.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c015-eng.pdf,NULL,(PDF 11KB),September 1999,5,NULL
